epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,472.924,0.94052,1.49003,0.33687,0.76385,0.00991,1.12674,0.85671,0.78451,0.84762,0.65245,0.84953,0.75098,0.76601,0.60201,0.92465,0.9573,0.43377,0.74796,0.01459,0,0.000166578,0.000166578,0.066851
2,915.687,0.92442,1.48151,0.29095,0.74067,0.00969,1.03596,0.86442,0.78554,0.85267,0.65879,0.85147,0.75634,0.76887,0.60306,0.91482,0.96595,0.3614,0.72612,0.01433,0,0.000324997,0.000324997,0.0336761
3,1355.45,0.92085,1.48026,0.2791,0.73789,0.00962,1.03394,0.86732,0.78352,0.85789,0.66438,0.85396,0.75478,0.76937,0.60322,0.90806,0.97239,0.3414,0.70471,0.01416,0,0.000475166,0.000475166,0.000492943
4,1793.69,0.91722,1.47961,0.27146,0.73372,0.00952,1.00602,0.86331,0.79127,0.86312,0.66584,0.84997,0.75549,0.76877,0.60203,0.90794,0.97273,0.31229,0.68812,0.01409,0,0.000462875,0.000462875,0.000462875
5,2232.33,0.91556,1.47542,0.26638,0.73169,0.0095,0.95671,0.87328,0.78724,0.87054,0.67296,0.85494,0.75525,0.7714,0.60515,0.90061,0.96777,0.30924,0.66764,0.01395,0,0.0004505,0.0004505,0.0004505
6,2670.62,0.91318,1.46578,0.26238,0.72424,0.00946,0.93556,0.86934,0.78637,0.86771,0.67294,0.86685,0.75226,0.77396,0.60831,0.89693,0.9544,0.29798,0.6747,0.01385,0,0.000438125,0.000438125,0.000438125
7,3109.31,0.91104,1.44315,0.26066,0.71754,0.00942,0.88556,0.87119,0.79337,0.87673,0.67813,0.87095,0.75014,0.77328,0.61011,0.89381,0.95415,0.30417,0.65314,0.01379,0,0.00042575,0.00042575,0.00042575
8,3548.05,0.9101,1.4534,0.25747,0.72101,0.00943,0.88042,0.87248,0.79337,0.87389,0.67796,0.86588,0.75667,0.77553,0.61191,0.89023,0.94765,0.28658,0.66282,0.01365,0,0.000413375,0.000413375,0.000413375
9,3986.46,0.90787,1.435,0.25532,0.7124,0.0094,0.82403,0.87346,0.79267,0.87628,0.68048,0.8686,0.75518,0.7777,0.61531,0.8907,0.94098,0.28522,0.65241,0.01369,0,0.000401,0.000401,0.000401
10,4425.2,0.90824,1.44184,0.25694,0.71477,0.00932,0.8409,0.87681,0.7948,0.87712,0.68165,0.86995,0.75625,0.77685,0.61381,0.8882,0.94529,0.28485,0.64878,0.01363,0,0.000388625,0.000388625,0.000388625
