epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,619.408,0.91337,1.47559,0.31046,0.72107,0.00954,0.8134,0.85766,0.78494,0.84331,0.6495,0.84947,0.75521,0.76753,0.60262,0.92979,0.96088,0.47582,0.76167,0.01465,0,0.0001666,0.0001666,0.0668466
2,1208.78,0.90213,1.46284,0.27988,0.71342,0.00937,0.73974,0.8615,0.78269,0.84909,0.65631,0.85871,0.75421,0.76999,0.60337,0.91543,0.95577,0.40669,0.74286,0.01432,0,0.000325018,0.000325018,0.0336717
3,1792.83,0.89989,1.4556,0.27014,0.70993,0.0093,0.70523,0.86812,0.78257,0.85415,0.65846,0.85722,0.75597,0.77073,0.60038,0.91682,0.97516,0.37271,0.72175,0.01429,0,0.000475187,0.000475187,0.00048852
4,2374.59,0.90335,1.4799,0.26405,0.70935,0.00936,0.72748,0.86533,0.78934,0.86117,0.66533,0.8569,0.75378,0.7694,0.6036,0.91022,0.97059,0.35472,0.6954,0.01418,0,0.000462875,0.000462875,0.000462875
5,2956.63,0.89646,1.46862,0.26063,0.70476,0.00921,0.70366,0.86908,0.7899,0.86617,0.66995,0.85637,0.76345,0.77498,0.60689,0.90611,0.96424,0.34719,0.68193,0.01404,0,0.0004505,0.0004505,0.0004505
6,3538.35,0.89799,1.46102,0.25791,0.70021,0.00923,0.70386,0.87352,0.77913,0.86475,0.67226,0.86497,0.75231,0.77347,0.60841,0.89613,0.94772,0.31888,0.67991,0.01381,0,0.000438125,0.000438125,0.000438125
7,4120.57,0.89343,1.45236,0.2566,0.69704,0.00919,0.69284,0.87315,0.78613,0.8678,0.67326,0.86055,0.75525,0.77413,0.61122,0.89807,0.95085,0.31739,0.67589,0.01386,0,0.00042575,0.00042575,0.00042575
8,4702.63,0.89401,1.44697,0.2553,0.69299,0.00912,0.62149,0.87603,0.78628,0.87004,0.67516,0.86572,0.75641,0.77446,0.61345,0.8963,0.94201,0.32466,0.67385,0.01378,0,0.000413375,0.000413375,0.000413375
9,5284.04,0.89128,1.44313,0.253,0.69496,0.00914,0.6065,0.87996,0.78375,0.87231,0.67693,0.87113,0.75535,0.77608,0.6148,0.89533,0.93744,0.32288,0.66568,0.01376,0,0.000401,0.000401,0.000401
10,5865.47,0.88801,1.43132,0.25164,0.68813,0.00912,0.59735,0.87753,0.78791,0.87327,0.67717,0.87731,0.7532,0.77817,0.6159,0.89361,0.93892,0.32248,0.65964,0.01367,0,0.000388625,0.000388625,0.000388625
11,6446.85,0.8877,1.42443,0.25103,0.68687,0.00914,0.60648,0.87511,0.7923,0.87557,0.67806,0.87587,0.7566,0.7773,0.61605,0.89711,0.93604,0.31768,0.65615,0.01373,0,0.00037625,0.00037625,0.00037625
12,7027.97,0.8891,1.42951,0.25023,0.68413,0.00915,0.58043,0.87538,0.78945,0.87365,0.67865,0.87087,0.75787,0.77862,0.61851,0.89262,0.92889,0.31744,0.65694,0.01368,0,0.000363875,0.000363875,0.000363875
13,7609.63,0.88587,1.41367,0.24958,0.68454,0.00907,0.56545,0.87514,0.79325,0.87803,0.68179,0.87138,0.7581,0.77971,0.61826,0.88697,0.92742,0.31169,0.65077,0.01353,0,0.0003515,0.0003515,0.0003515
14,8191.64,0.88728,1.41419,0.24853,0.68439,0.00911,0.52605,0.87655,0.79259,0.87694,0.6816,0.87298,0.75561,0.77879,0.61907,0.8861,0.91966,0.31383,0.65035,0.01352,0,0.000339125,0.000339125,0.000339125
15,8773.11,0.88184,1.40478,0.24774,0.67856,0.00904,0.51812,0.87748,0.79314,0.87606,0.68211,0.87082,0.75751,0.7792,0.61995,0.88431,0.92295,0.31207,0.65121,0.01352,0,0.00032675,0.00032675,0.00032675
16,9354.69,0.8847,1.39259,0.24727,0.67743,0.00903,0.50773,0.88021,0.79076,0.87735,0.6829,0.8661,0.75977,0.77915,0.62067,0.88589,0.91576,0.30688,0.64639,0.01359,0,0.000314375,0.000314375,0.000314375
17,9936.51,0.88308,1.39232,0.24674,0.67802,0.00903,0.51274,0.8782,0.79456,0.87883,0.68366,0.87701,0.75692,0.78078,0.6223,0.88525,0.91667,0.30711,0.64492,0.01357,0,0.000302,0.000302,0.000302
18,10518.2,0.88336,1.39273,0.24572,0.67818,0.00904,0.50481,0.87239,0.79882,0.8775,0.68346,0.87312,0.75753,0.77993,0.62247,0.88433,0.91332,0.30636,0.64589,0.01353,0,0.000289625,0.000289625,0.000289625
19,11099.3,0.87893,1.38644,0.2452,0.67664,0.009,0.50116,0.87753,0.79642,0.87763,0.68407,0.87043,0.76347,0.78015,0.62275,0.8828,0.91387,0.3056,0.64523,0.0135,0,0.00027725,0.00027725,0.00027725
20,11681.4,0.87714,1.38221,0.24504,0.67546,0.00894,0.46778,0.87842,0.79492,0.87764,0.6842,0.87358,0.76069,0.78084,0.62383,0.8831,0.91219,0.30639,0.64491,0.01351,0,0.000264875,0.000264875,0.000264875
21,12263.2,0.87755,1.37264,0.24452,0.66936,0.00898,0.45783,0.88262,0.79314,0.87886,0.68486,0.87554,0.76119,0.78093,0.62434,0.88276,0.91281,0.30598,0.64238,0.01349,0,0.0002525,0.0002525,0.0002525
